NAV,RP,SP,Date,
139.21,138.51,142.34,2-Jan-07,
141.08,140.37,144.25,3-Jan-07,
140.88,140.18,144.05,4-Jan-07,
140.56,139.86,143.72,5-Jan-07,
138.92,138.23,142.05,8-Jan-07,
138.25,137.56,141.36,9-Jan-07,
136.89,136.21,139.97,10-Jan-07,
139.05,138.35,142.18,11-Jan-07,
141.86,141.15,145.05,12-Jan-07,
143.41,142.69,146.64,15-Jan-07,
143.73,143.01,146.96,16-Jan-07,
143.52,142.8,146.75,17-Jan-07,
143.3,142.58,146.52,18-Jan-07,
143.25,142.53,146.47,19-Jan-07,
143.88,143.16,147.12,22-Jan-07,
142.59,141.88,145.8,23-Jan-07,
142.97,142.26,146.19,24-Jan-07,
144.9,144.18,148.16,25-Jan-07,
144.47,143.75,147.72,29-Jan-07,
142.93,142.22,146.15,31-Jan-07,
144.25,143.53,147.5,1-Feb-07,
146.15,145.42,149.44,2-Feb-07,
147.13,146.39,150.44,5-Feb-07,
147.44,146.7,150.76,6-Feb-07,
148.5,147.76,151.84,7-Feb-07,
148.33,147.59,151.67,8-Feb-07,
146.17,145.44,149.46,9-Feb-07,
141.37,140.66,144.55,12-Feb-07,
140.83,140.13,144,13-Feb-07,
140.56,139.86,143.72,14-Feb-07,
144.32,143.6,147.57,15-Feb-07,
145.17,144.44,148.44,19-Feb-07,
142.88,142.17,146.09,20-Feb-07,
143.54,142.82,146.77,21-Feb-07,
142.04,141.33,145.24,22-Feb-07,
137.69,137,140.79,23-Feb-07,
137.74,137.05,140.84,26-Feb-07,
137.06,136.37,140.14,27-Feb-07,
132.62,131.96,135.6,28-Feb-07,
132.64,131.98,135.62,1-Mar-07,
130.57,129.92,133.51,2-Mar-07,
125.62,124.99,128.45,5-Mar-07,
127.68,127.04,130.55,6-Mar-07,
126.59,125.96,129.44,7-Mar-07,
129.27,128.62,132.18,9-Mar-07,
130.19,129.54,133.12,12-Mar-07,
131.46,130.8,134.42,13-Mar-07,
127.92,127.28,130.8,14-Mar-07,
128.17,127.53,131.05,15-Mar-07,
127.1,126.46,129.96,16-Mar-07,
128.88,128.24,131.78,19-Mar-07,
130.13,129.48,133.06,20-Mar-07,
131.06,130.4,134.01,21-Mar-07,
133.46,132.79,136.46,22-Mar-07,
133.87,133.2,136.88,23-Mar-07,
132.82,132.16,135.81,26-Mar-07,
130.7,130.05,133.64,28-Mar-07,
131.84,131.18,134.81,29-Mar-07,
132.81,132.15,135.8,30-Mar-07,
127.9823,127.342,130.8637,2-Apr-07,
129.2327,128.5865,132.1404,3-Apr-07,
130.5497,129.897,133.4871,4-Apr-07,
132.1981,131.5371,135.1726,5-Apr-07,
134.9394,134.2647,137.9755,9-Apr-07,
135.674,134.9956,138.7267,10-Apr-07,
135.319,134.6424,138.3637,11-Apr-07,
134.9232,134.2486,137.959,12-Apr-07,
137.3778,136.6909,140.4688,13-Apr-07,
139.1284,138.4328,142.2588,16-Apr-07,
138.2741,137.5827,141.3853,17-Apr-07,
138.2486,137.5574,141.3592,18-Apr-07,
137.7705,137.0816,140.8703,19-Apr-07,
139.6483,138.9501,142.7904,20-Apr-07,
139.8184,139.1193,142.9643,23-Apr-07,
141.7273,141.0187,144.9162,24-Apr-07,
143.0501,142.3348,146.2687,25-Apr-07,
143.5671,142.8493,146.7974,26-Apr-07,
141.9434,141.2337,145.1371,27-Apr-07,
142.3597,141.6479,145.5628,30-Apr-07,
143.8729,143.1535,147.11,3-May-07,
142.9528,142.238,146.1692,4-May-07,
142.5555,141.8427,145.763,7-May-07,
141.5312,140.8235,144.7157,8-May-07,
141.7837,141.0748,144.9738,9-May-07,
141.9377,141.228,145.1313,10-May-07,
142.3149,141.6033,145.517,11-May-07,
143.9581,143.2383,147.1972,14-May-07,
144.7226,143.999,147.9789,15-May-07,
147.3792,146.6423,150.6952,16-May-07,
147.9482,147.2085,151.277,17-May-07,
148.4623,147.72,151.8027,18-May-07,
149.5651,148.8173,152.9303,21-May-07,
150.9633,150.2085,154.36,22-May-07,
149.6569,148.9086,153.0242,23-May-07,
148.8267,148.0826,152.1753,24-May-07,
149.4535,148.7062,152.8162,25-May-07,
150.1087,149.3582,153.4861,28-May-07,
151.0342,150.279,154.4325,29-May-07,
149.7123,148.9637,153.0808,30-May-07,
151.5303,150.7726,154.9397,31-May-07,
152.1245,151.3639,155.5473,1-Jun-07,
151.2393,150.4831,154.6422,4-Jun-07,
151.9075,151.148,155.3254,5-Jun-07,
149.565,148.8172,152.9302,6-Jun-07,
149.0223,148.2772,152.3753,7-Jun-07,
147.3836,146.6467,150.6997,8-Jun-07,
147.1625,146.4267,150.4737,11-Jun-07,
147.0285,146.2934,150.3366,12-Jun-07,
146.1088,145.3783,149.3962,13-Jun-07,
148.5086,147.7661,151.85,14-Jun-07,
148.5228,147.7802,151.8646,15-Jun-07,
148.162,147.4212,151.4956,18-Jun-07,
149.5293,148.7817,152.8937,19-Jun-07,
150.5326,149.7799,153.9196,20-Jun-07,
152.1777,151.4168,155.6017,21-Jun-07,
152.787,152.0231,156.2247,22-Jun-07,
152.6778,151.9144,156.1131,25-Jun-07,
153.6867,152.9183,157.1447,26-Jun-07,
152.9441,152.1794,156.3853,27-Jun-07,
154.4568,153.6845,157.9321,28-Jun-07,
156.0141,155.234,159.5244,29-Jun-07,
156.3387,155.557,159.8563,2-Jul-07,
157.7854,156.9965,161.3356,3-Jul-07,
157.5907,156.8027,161.1365,4-Jul-07,
156.8538,156.0695,160.383,5-Jul-07,
157.5601,156.7723,161.1052,6-Jul-07,
158.4631,157.6708,162.0285,9-Jul-07,
157.391,156.604,160.9323,10-Jul-07,
157.2619,156.4756,160.8003,11-Jul-07,
159.2248,158.4287,162.8074,12-Jul-07,
160.3903,159.5883,163.9991,13-Jul-07,
160.6481,159.8449,164.2627,16-Jul-07,
159.7496,158.9509,163.344,17-Jul-07,
159.6601,158.8618,163.2525,18-Jul-07,
161.8012,160.9922,165.4417,19-Jul-07,
161.6227,160.8146,165.2592,20-Jul-07,
163.3971,162.5801,167.0735,23-Jul-07,
163.0663,162.251,166.7353,24-Jul-07,
162.5436,161.7309,166.2008,25-Jul-07,
163.9329,163.1132,167.6214,26-Jul-07,
158.7171,157.9235,162.2882,27-Jul-07,
158.8592,158.0649,162.4335,30-Jul-07,
162.3947,161.5827,166.0486,31-Jul-07,
