NAV,RP,SP,Date
10,10,10,1-Jan-07
10,10,10,2-Jan-07
0,0,0,4-Jan-07
10.05,9.95,10.05,5-Jan-07
10.04,9.94,10.04,8-Jan-07
10.04,9.94,10.04,9-Jan-07
10.05,9.95,10.05,10-Jan-07
10.03,9.93,10.03,11-Jan-07
10.05,9.95,10.05,12-Jan-07
10.06,9.96,10.06,15-Jan-07
10.06,9.96,10.06,16-Jan-07
10.07,9.97,10.07,17-Jan-07
10.07,9.97,10.07,18-Jan-07
10.08,9.98,10.08,19-Jan-07
10.07,9.97,10.07,22-Jan-07
10.08,9.98,10.08,23-Jan-07
10.08,9.98,10.08,24-Jan-07
10.1,10,10.1,25-Jan-07
10.12,10.01,10.12,29-Jan-07
10.12,10.02,10.12,31-Jan-07
10.11,10.01,10.11,1-Feb-07
10.12,10.02,10.12,2-Feb-07
10.13,10.03,10.13,5-Feb-07
10.13,10.03,10.13,6-Feb-07
10.13,10.03,10.13,7-Feb-07
10.13,10.03,10.13,8-Feb-07
10.15,10.05,10.15,9-Feb-07
10.16,10.06,10.16,12-Feb-07
10.15,10.05,10.15,13-Feb-07
10.14,10.04,10.14,14-Feb-07
10.15,10.05,10.15,15-Feb-07
10.16,10.05,10.16,19-Feb-07
10.16,10.06,10.16,20-Feb-07
10.16,10.05,10.16,21-Feb-07
10.15,10.05,10.15,22-Feb-07
10.19,10.09,10.19,23-Feb-07
10.17,10.07,10.17,26-Feb-07
10.19,10.09,10.19,27-Feb-07
10.2,10.1,10.2,28-Feb-07
10.18,10.08,10.18,1-Mar-07
10.2,10.1,10.2,2-Mar-07
10.21,10.11,10.21,5-Mar-07
10.2,10.09,10.2,6-Mar-07
10.2,10.1,10.2,7-Mar-07
10.19,10.09,10.19,8-Mar-07
10.2,10.1,10.2,9-Mar-07
10.2,10.1,10.2,12-Mar-07
10.19,10.09,10.19,13-Mar-07
10.22,10.12,10.22,14-Mar-07
10.22,10.12,10.22,15-Mar-07
10.23,10.12,10.23,16-Mar-07
10.22,10.11,10.22,19-Mar-07
10.24,10.14,10.24,20-Mar-07
10.23,10.13,10.23,21-Mar-07
10.23,10.13,10.23,22-Mar-07
10.23,10.13,10.23,23-Mar-07
10.23,10.13,10.23,26-Mar-07
10.25,10.14,10.25,28-Mar-07
10.22,10.11,10.22,29-Mar-07
10.24,10.14,10.24,30-Mar-07
10.26,10.16,10.26,2-Apr-07
10.26,10.16,10.26,3-Apr-07
10.26,10.16,10.26,4-Apr-07
10.27,10.17,10.27,5-Apr-07
