NAV,RP,SP,Date
49.8361,49.8361,50.9574,2-Jan-07
49.9705,49.9705,51.0948,3-Jan-07
49.82,49.82,50.941,4-Jan-07
49.6899,49.6899,50.8079,5-Jan-07
49.2498,49.2498,50.3579,8-Jan-07
49.0511,49.0511,50.1547,9-Jan-07
48.7798,48.7798,49.8773,10-Jan-07
49.4533,49.4533,50.566,11-Jan-07
50.2198,50.2198,51.3497,12-Jan-07
50.8017,50.8017,51.9447,15-Jan-07
51.1339,51.1339,52.2844,16-Jan-07
51.1402,51.1402,52.2909,17-Jan-07
51.3314,51.3314,52.4864,18-Jan-07
51.1092,51.1092,52.2592,19-Jan-07
51.0704,51.0704,52.2195,22-Jan-07
50.6017,50.6017,51.7402,23-Jan-07
50.7754,50.7754,51.9178,24-Jan-07
51.1505,51.1505,52.3014,25-Jan-07
50.9845,50.9845,52.1317,29-Jan-07
50.5487,50.5487,51.686,31-Jan-07
50.9259,50.9259,52.0717,1-Feb-07
51.6897,51.6897,52.8527,2-Feb-07
51.9926,51.9926,53.1624,5-Feb-07
51.9559,51.9559,53.1249,6-Feb-07
52.1011,52.1011,53.2734,7-Feb-07
51.9564,51.9564,53.1254,8-Feb-07
51.4586,51.4586,52.6164,9-Feb-07
50.0409,50.0409,51.1668,12-Feb-07
50.0497,50.0497,51.1758,13-Feb-07
50.0246,50.0246,51.1502,14-Feb-07
50.9794,50.9794,52.1264,15-Feb-07
51.0975,51.0975,52.2472,19-Feb-07
50.7054,50.7054,51.8463,20-Feb-07
50.677,50.677,51.8172,21-Feb-07
50.373,50.373,51.5064,22-Feb-07
49.4403,49.4403,50.5527,23-Feb-07
49.4707,49.4707,50.5838,26-Feb-07
49.2829,49.2829,50.3918,27-Feb-07
48.1382,48.1382,49.2213,28-Feb-07
48.4307,48.4307,49.5204,1-Mar-07
47.8026,47.8026,48.8782,2-Mar-07
46.2566,46.2566,47.2974,5-Mar-07
46.7647,46.7647,47.8169,6-Mar-07
46.3384,46.3384,47.381,7-Mar-07
47.4339,47.4339,48.5012,8-Mar-07
47.0332,47.0332,48.0914,9-Mar-07
47.409,47.409,48.4757,12-Mar-07
47.7956,47.7956,48.871,13-Mar-07
46.8608,46.8608,47.9152,14-Mar-07
46.9487,46.9487,48.005,15-Mar-07
46.5801,46.5801,47.6282,16-Mar-07
47.1985,47.1985,48.2605,19-Mar-07
47.3116,47.3116,48.3761,20-Mar-07
47.7533,47.7533,48.8277,21-Mar-07
48.6463,48.6463,49.7408,22-Mar-07
48.7976,48.7976,49.8955,23-Mar-07
48.5962,48.5962,49.6896,26-Mar-07
48.0278,48.0278,49.1084,28-Mar-07
48.2982,48.2982,49.3849,29-Mar-07
48.5674,48.5674,49.6602,30-Mar-07
47.1024,47.1024,48.1622,2-Apr-07
47.4529,47.4529,48.5206,3-Apr-07
47.9578,47.9578,49.0369,4-Apr-07
48.2228,48.2228,49.3078,5-Apr-07
49.015,49.015,50.1178,9-Apr-07
49.1521,49.1521,50.258,10-Apr-07
49.3959,49.3959,50.5073,11-Apr-07
49.3312,49.3312,50.4412,12-Apr-07
50.0809,50.0809,51.2077,13-Apr-07
50.9428,50.9428,52.089,16-Apr-07
50.7043,50.7043,51.8451,17-Apr-07
50.7095,50.7095,51.8505,18-Apr-07
50.742,50.742,51.8837,19-Apr-07
51.2923,51.2923,52.4464,20-Apr-07
51.342,51.342,52.4972,23-Apr-07
51.7602,51.7602,52.9248,24-Apr-07
51.842,51.842,53.0084,25-Apr-07
51.773,51.773,52.9379,26-Apr-07
51.3673,51.3673,52.5231,27-Apr-07
51.6825,51.6825,52.8454,30-Apr-07
52.2835,51.7607,53.4599,3-May-07
52.0793,51.5585,53.2511,4-May-07
51.959,51.4394,53.1281,7-May-07
51.7323,51.215,52.8963,8-May-07
51.7666,51.2489,52.9313,9-May-07
51.7734,51.2557,52.9383,10-May-07
51.9104,51.3913,53.0784,11-May-07
52.3419,51.8185,53.5196,14-May-07
52.3847,51.8609,53.5634,15-May-07
53.0082,52.4781,54.2009,16-May-07
53.4501,52.9156,54.6527,17-May-07
53.4211,52.8869,54.6231,18-May-07
53.7356,53.1982,54.9447,21-May-07
53.863,53.3244,55.0749,22-May-07
53.7146,53.1775,54.9232,23-May-07
53.3793,52.8455,54.5803,24-May-07
53.6721,53.1354,54.8797,25-May-07
53.8718,53.3331,55.0839,28-May-07
54.2523,53.7098,55.473,29-May-07
53.9981,53.4581,55.2131,30-May-07
54.4244,53.8802,55.6489,31-May-07
54.4693,53.9246,55.6949,1-Jun-07
54.2031,53.6611,55.4227,4-Jun-07
54.5396,53.9942,55.7667,5-Jun-07
53.937,53.3976,55.1506,6-Jun-07
53.8908,53.3519,55.1033,7-Jun-07
53.5712,53.0355,54.7766,8-Jun-07
53.456,52.9214,54.6588,11-Jun-07
53.3995,52.8655,54.601,12-Jun-07
53.1613,52.6297,54.3574,13-Jun-07
53.7869,53.249,54.9971,14-Jun-07
53.8084,53.2703,55.0191,15-Jun-07
53.6754,53.1386,54.8831,18-Jun-07
54.2699,53.7272,55.491,19-Jun-07
54.6784,54.1316,55.9087,20-Jun-07
55.0629,54.5123,56.3018,21-Jun-07
54.9357,54.3863,56.1718,22-Jun-07
